model_name,model_short,specialization,active
deepseek/deepseek-r1:free,deepseek-r1,reasoning,true
deepseek/deepseek-r1-zero:free,deepseek-r1-zero,reasoning,false
deepseek/deepseek-r1-distill-llama-70b:free,deepseek-r1-distill-70b,reasoning,false
deepseek/deepseek-r1-distill-qwen-32b:free,deepseek-r1-distill-32b,reasoning,false
deepseek/deepseek-chat-v3-0324:free,deepseek-chat-v3,coding,false
google/gemini-2.5-pro-exp-03-25:free,gemini-2.5-pro,general,false
google/gemini-2.0-flash-thinking-exp:free,gemini-2.0-flash-thinking,reasoning,false
google/gemini-2.0-flash-exp:free,gemini-2.0-flash,general,false
google/gemma-3-27b-it:free,gemma-3-27b,instruction_following,true
meta-llama/llama-4-maverick:free,llama-4-maverick,general,false
meta-llama/llama-4-scout:free,llama-4-scout,general,false
meta-llama/llama-3.3-70b-instruct:free,llama-3.3-70b,instruction_following,false
meta-llama/llama-3.3-8b-instruct:free,llama-3.3-8b,instruction_following,false
nvidia/llama-3.1-nemotron-ultra-253b-v1:free,nemotron-253b,general,false
qwen/qwq-32b:free,qwq-32b,reasoning,false
mistralai/devstral-small:free,devstral-small,coding,false
mistralai/mistral-small-3.1-24b-instruct:free,mistral-small-3.1,instruction_following,false
mistralai/mistral-7b-instruct:free,mistral-7b,instruction_following,false
